position,company,location,link,days_posted,date_posted,applied,date_applied,strikes,rank
Data Scientist - New Grad,Yelp,"San Francisco, CA",https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=133029&s=58&guid=00000163d518733591f620ecc52fec6b&src=GD_JOB_VIEW&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_f1197bc2&cb=1528288549588&jobListingId=2697694396,0.0,06-11-2018,No,,1.0,8.0
Data Analyst - Undergraduate Student Financial Services,Azusa Pacific University,"Azusa, CA",https://www.glassdoor.com/partner/jobListing.htm?pos=2911&ao=4011&s=58&guid=00000163d5454fd993f4a5c917a0d365&src=GD_JOB_VIEW&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_3d0d670f&cb=1528291521831&jobListingId=2632013738,0.0,06-11-2018,No,,1.0,8.0
Lead Data Insights Analyst,Flipboard,"Palo Alto, CA",https://www.glassdoor.com/partner/jobListing.htm?pos=3020&ao=85944&s=58&guid=00000163d546d0ee89d607ae1e9dfdb6&src=GD_JOB_VIEW&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_60ebed89&cb=1528291643849&jobListingId=2625569985,0.0,06-11-2018,No,,1.0,8.0
Data Analyst - Autonomous Vehicles,Kett Engineering Corporation,"Santa Clara, CA",https://www.glassdoor.com/partner/jobListing.htm?pos=3015&ao=107258&s=58&guid=00000163d546d0ee89d607ae1e9dfdb6&src=GD_JOB_VIEW&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_1dcbacf6&cb=1528291630906&jobListingId=2782536252,0.0,06-11-2018,No,,1.0,8.0
Data System Analyst 3,UC Davis Medical Center,"Sacramento, CA",https://www.glassdoor.com/partner/jobListing.htm?pos=3012&ao=37049&s=58&guid=00000163d546d0ee89d607ae1e9dfdb6&src=GD_JOB_VIEW&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_95011beb&cb=1528291623948&jobListingId=2743984210,0.0,06-11-2018,No,,1.0,8.0
Security Data Analyst I,,"Menlo Park, CA",https://www.glassdoor.com/partner/jobListing.htm?pos=3010&ao=3949&s=58&guid=00000163d546d0ee89d607ae1e9dfdb6&src=GD_JOB_VIEW&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_351a74fa&cb=1528291617761&jobListingId=2756073866,0.0,06-11-2018,No,,1.0,8.0
Data Systems Analyst III,UC San Francisco,"San Francisco, CA",https://www.glassdoor.com/partner/jobListing.htm?pos=3008&ao=4465&s=58&guid=00000163d546d0ee89d607ae1e9dfdb6&src=GD_JOB_VIEW&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_d8a0d43e&cb=1528291610696&jobListingId=2782206733,0.0,06-11-2018,No,,1.0,8.0
Security Data Analyst II,OrangePeople,"Menlo Park, CA",https://www.glassdoor.com/partner/jobListing.htm?pos=3003&ao=3949&s=58&guid=00000163d546d0ee89d607ae1e9dfdb6&src=GD_JOB_VIEW&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_639b4d15&cb=1528291596761&jobListingId=2755894842,0.0,06-11-2018,No,,1.0,8.0
"(USA-CA-Sunnyvale) Internal Audit, Data Analyst",Google Inc.,"Sunnyvale, CA",https://www.glassdoor.com/partner/jobListing.htm?pos=2929&ao=173354&s=58&guid=00000163d5454fd993f4a5c917a0d365&src=GD_JOB_VIEW&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_774752e1&cb=1528291570539&jobListingId=2797871072,0.0,06-11-2018,No,,1.0,8.0
Data Analyst (HR Function/Recruiting),IntelliPro Group Inc.,"Palo Alto, CA",https://www.glassdoor.com/partner/jobListing.htm?pos=2928&ao=4341&tgt=APPLY_START&s=58&guid=00000163d5454fd993f4a5c917a0d365&src=GD_JOB_VIEW&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_164ec761&cb=1528291568046&jobListingId=2782599760,0.0,06-11-2018,No,,1.0,8.0
BI Data Analyst with Healthcare Background,ITC Infotech,"Sacramento, CA",https://www.glassdoor.com/partner/jobListing.htm?pos=2927&ao=55261&s=58&guid=00000163d5454fd993f4a5c917a0d365&src=GD_JOB_VIEW&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_02ccc98f&cb=1528291565178&jobListingId=2783466701,0.0,06-11-2018,No,,1.0,8.0
Sales Data Analyst,KaVo Kerr,"Santa Ana, CA",https://www.glassdoor.com/partner/jobListing.htm?pos=2923&ao=3839&s=58&guid=00000163d5454fd993f4a5c917a0d365&src=GD_JOB_VIEW&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_4ae53440&cb=1528291553538&jobListingId=2790163633,0.0,06-11-2018,No,,1.0,8.0
"Data Warehouse Analyst, Intermediate",Health Plan of San Joaquin,"French Camp, CA",https://www.glassdoor.com/partner/jobListing.htm?pos=2922&ao=4011&s=58&guid=00000163d5454fd993f4a5c917a0d365&src=GD_JOB_VIEW&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_44b26284&cb=1528291551195&jobListingId=2428892577,0.0,06-11-2018,No,,1.0,8.0
Data Warehouse/BI Analyst,"Central Business Solutions, Inc","Peninsula Village, CA",https://www.glassdoor.com/partner/jobListing.htm?pos=2920&ao=4321&tgt=APPLY_START&s=58&guid=00000163d5454fd993f4a5c917a0d365&src=GD_JOB_VIEW&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_e3e0c3bf&cb=1528291545931&jobListingId=2729586348,0.0,06-11-2018,No,,1.0,8.0
Data Analyst II - Quality Improvement (ESRD),IPRO,"San Francisco, CA",https://www.glassdoor.com/partner/jobListing.htm?pos=2918&ao=212128&s=58&guid=00000163d5454fd993f4a5c917a0d365&src=GD_JOB_VIEW&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_5e45e0f9&cb=1528291541451&jobListingId=2784996381,0.0,06-11-2018,No,,1.0,8.0
Data Analyst-HEDIS & Star,SCAN,"Long Beach, CA",https://www.glassdoor.com/partner/jobListing.htm?pos=2907&ao=173064&s=58&guid=00000163d5454fd993f4a5c917a0d365&src=GD_JOB_VIEW&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_7bb0155f&cb=1528291508325&jobListingId=2794775105,0.0,06-11-2018,No,,1.0,8.0
Data Science Application Developer,SMU (Southern Methodist University),"Dallas, TX",https://www.glassdoor.com/partner/jobListing.htm?pos=422&ao=356731&s=58&guid=00000163d51ea64eaf91290da6efac55&src=GD_JOB_VIEW&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_292cc470&cb=1528289030041&jobListingId=2801993841,0.0,06-11-2018,No,,1.0,8.0
