position,company,location,description,link
Data Scientist,NinthDecimal,"Mountain View, CA","Data Scientist @ NinthDecimal.

NinthDecimal continues to advance its position as a leader in the Marketing and Advertising industry. We deliver best-in-class Measurement, Insights and Analytics by deploying advanced data science methodologies on data sets of massive scale. Our new platform (called Location Graph) offers capabilities to create and target custom audience segments at scale. It is based on the history of past and present location data connected and matched to various 3rd party data sources. As a result, the platform can derive in real time (tens of thousands of requests per second) whether an ad request comes from a mom, a student, middle age male who is a business traveler and dozens of other profiles. We deal with 10+ billions of signals from mobile devices every day. As a member of the Data Science team, you'll be responsible for developing statistical and machine-learning models that deliver accurate and robust measurement of foot traffic metrics of interest to our advertising clients. You will work closely with other data scientists, the Product team, various business units, and other engineering teams. This is a great opportunity to work with real world data at scale and to help define and shape the measurement standards in a very dynamic and evolving industry. The responsibilities for this position include these activities:


Develop and deploy data science methodologies and algorithms at scale to create high quality disruptive products
Establish robust processes to insure the stability, accuracy, reproducibility and overall quality of all algorithms, processes, and the results they produce
Represent Data Science team in Product and Roadmap design sessions
Participate in building reliable QA processes for both data and results
Collaborate on key architectural decisions and design considerations
Contribute to and promote good software engineering practices across the Engineering Department.
Understand the current data sets and models and provide thought leadership by discovering new ways to enrich and use our massive data assets

Qualifications Required:

A true passion for data, data quality, research and a solid data science approach
Solid understanding of probability and statistics
Solid understanding of research design, A/B and test-vs-control statistical testing frameworks
Linear and Generalized Linear regression models including the ability to diagnose and correct problems.
Solid understanding of unsupervised and supervised machine learning approaches including clustering and classification techniques.
Solid understand of how to assess the quality of machine learning models including the ability to diagnose and correct problems.
Experience working with multiple data types including numerical, categorical, and count data.
Ability to manage competing priorities in a dynamic and fast paced business environment.
Experienced/Advanced programmer in Scala, Python, or similar programming languages
Experienced/Advanced Programmer in Spark, SQL, and/or Hive
Experience in developing algorithms based on multi-billion records data size
Advanced degree in Statistics, Economics, Operations Research, or similar quantitative fields is preferred
Familiarity with the digital media / advertising industry is a big plus
3+ years' experience as a Data Scientist




            Read moreSee All",https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=111705&s=58&guid=00000163d0f326e39c5c41d1b65770a3&src=GD_JOB_VIEW&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_ea6439da&cb=1528218990184&jobListingId=2776776356
Scientist,Singulex,"Alameda, CA","About Singulex:
Singulex is an immunodiagnostics company at the forefront of Single Molecule Counting technology, a novel immunoassay technology recognized for unprecedented ultra-sensitivity in the precision measurement of biomarkers. Singulex is the developer of the Singulex Clarity system, a fully-automated, in vitro diagnostics platform powered by Single Molecule Counting technology. With up to 1000 times more sensitivity than existing technologies, Single Molecule Counting reveals the presence or absence of disease more clearly and definitively than was possible before. In 2017, Singulex filed a 510(k) pre-market notification submission with the U.S. Food and Drug Administration. The Singulex Clarity system and Singulex Clarity assay have the CE mark and are commercially available in Europe. Additional assays to detect and rule out infectious and inflammatory diseases are in development. Singulex is also developing a point-of-care platform and exploring applications beyond the clinical setting. For more information, please visit singulex.com or singulexclarity.eu. 
Position Description:
The In-Vitro Diagnostic (IVD) Scientist will be a key member of the Diagnostics Operations organization for Singulex’ Companion Diagnostics (CoDx) Program.
In a hands-on bench-level role, the ideal candidate will have strong knowledge of Immunology and Biochemistry along with immunoassay development skills, knowledge of FDA requirements for IVD development, thorough documentation skills and the determination to succeed in a fast-paced start-up environment while managing changing priorities. Attention to detail, a confident communication style and the ability to listen and respond in a clear, logical and accommodating manner will go a long way in succeeding in this role. The Scientist will work closely with Singulex R&D, Quality, Regulatory, Manufacturing, Service engineering teams as well as Singulex collaborators and clients.
Qualifications: 

MS or PhD in biological sciences or related field (e.g. Chemistry, biotechnology, immunology, cell biology, biochemistry) with five-eight years (MS) or one-five years (PhD) of relevant hands-on laboratory experience.
Must be an analytical thinker who can follow general guidelines and design and perform experiments when required.
Must have strong written and verbal communication skills with excellent computer literacy and data analysis skills.
Demonstrated proficiency with Excel, PowerPoint, and Word programs is essential.
Excellent understanding of immunoassay methods used for protein analysis (i.e. EIA, bead (e.g., Luminex platform), ECL, ELISA).
Proven track record of ability to work in a fast-paced environment with shifting priorities and deliverables.
Knowledgeable in advanced assay design principles, as well as possessing a superior understanding of antibodies and antibody-antigen interactions, including preparation of solutions, buffers and reagent mixtures.
Excellent communication and listening skills, and ability to understand and communicate technical scientific information to a wide range of audiences.
Comfortable functioning in a highly automated and regulated laboratory and strict adherence to procedure manuals.
Ability to work with efficiency and effectively with multiple disciplines in a collaborative team environment.
Experience developing In-Vitro Diagnostic (IVD), clinical diagnostic assays and/or working with laboratory automation is a plus.
Experience with design control requirements for CoDx products and Medical Device Validation in GLP environment is desirable.
Experience with Quality Assurance activities and documentation preferred.
Experience with instrument and small equipment maintenance is a plus.
Experience with training of laboratory personnel desirable.
Demonstrated skills in areas including quality control, troubleshooting and process improvement preferred.

Responsibilities: 

With consultation, design and conduct assay development experiments, assay optimization and scale-up tasks for Singulex CoDx development as part of a group effort and reports results to management.
Performs Singulex assays and data analysis with no supervision utilizing knowledge, understanding and application of the relevant technologies.
Develops protocols for Singulex testing and Quality Assessment.
Operates lab instruments according to established procedures and prepares reagents as needed.
Analyzes human specimens (blood, serum and plasma) for specific analytes using Singulex or other immunoassays.
May also be involved in planning, execution and documentation of experiments that support feasibility investigations for newly proposed projects for self and junior members of the team.
Critically analyzes, summarizes and reports data generated from experiments, draws conclusions from experimental results and recommends and executes required follow-up actions with consideration of prior experimental findings (self and others) with no supervision. Proposes new studies or investigations based on findings and efforts in relation to project needs. May work on independent projects.
Presents data at team meetings or to small focus groups that may include representatives from other departments and/or outside parties, and participates in brainstorming and troubleshooting sessions within or between teams, offering and implementing solutions to problems.
Ensures compliance with and begins to implement the requirements of working in a regulated environment, assuring adherence to various requirements including Design Control, Good Laboratory Practices (GLP), and Good Manufacturing Practices (GMP). 
Utilizes knowledge of basic scientific principles to assess experimental responsibilities and demonstrates a clear understanding of and applies the principles, requirements and practices of Product Development. 
Maintains familiarity with current technology related information and/or literature and conducts project related information searches and may be involved in extensive literature searches.
Trains others in laboratory procedures and processes, and in the design, execution and analysis of experiments. 
Performs and may oversee general laboratory tasks such as reagent preparation, inventory, laboratory clean up and organization of work. 
Performs other duties and assumes additional departmental responsibilities as required. Performs other assignments and tasks as directed.
Maintains appropriate laboratory records, notebooks, and other formal company documentation, as required.
Works under minimal supervision, receiving no instructions on routine work, general instructions on new assignments, and detailed instructions or training on new applications or responsibilities
Works on problems of high complexity where analysis of situations or data requires an in-depth evaluation of various factors, and exercises judgment within broadly defined practices and policies to determine appropriate conclusion and follow up action.


Job will require extended and flexible hours including week nights and weekends on an as-needed basis.
Complies with all safety requirements as implemented in the work areas and as required per the job function.

Equal Opportunity:
Singulex provides equal employment opportunities (EEO) to all employees and applicants for employment without regard to race, color, religion, sex, national origin, age, disability or genetics. In addition to federal law requirements, Singulex complies with applicable state and local laws governing nondiscrimination in employment in every location in which the company has facilities. This policy applies to all terms and conditions of employment, including recruiting, hiring, placement, promotion, termination, layoff, recall, transfers, leave of absence, compensation, and training. Singulex expressly prohibits any form of workplace harassment based on race, color, religion, gender, sexual orientation, gender identity or expression, national origin, age, genetic information, disability, or veteran status. Improper interference with the ability of Singulex’s employees to perform their job duties may result in discipline up to and including discharge.



            Read moreSee All",https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=340874&s=58&guid=00000163d0f326e39c5c41d1b65770a3&src=GD_JOB_VIEW&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_e35b757e&cb=1528218994325&jobListingId=2748597221
Data Scientist,Facebook,"Menlo Park, CA","Facebook's mission is to give people the power to build community and bring the world closer together. Through our family of apps and services, we're building a different kind of company that connects billions of people around the world, gives them ways to share what matters most to them, and helps bring people closer together. Whether we're creating new products or helping a small business expand its reach, people at Facebook are builders at heart. Our global teams are constantly iterating, solving problems, and working together to empower people around the world to build community and connect in meaningful ways. Together, we can help people build stronger communities we're just getting started.In this role, your primary responsibility will be to partner with key stakeholders and lead the development of an analytics program to support and enable the continued growth critical to Facebooks Data Center organization. You will be responsible for creating end to end analytics programs, from data sourcing to surfacing insights and driving action, for various aspects of Facebooks global data center operations. You will also help translate data and identify efficiency opportunities. You will be expected to use data to provide meaningful recommendations and actionable strategies to key stakeholders, and develop best practices, including streamlining of data sources and related programmatic initiatives. 

The ideal candidate will have a passion for working in white space and creating impact from the ground up in a fast-paced environment. Additionally, you will have a proven track record of thought leadership and impact in developing similar analytics and metrics based programs. This position is part of the Infrastructure Data Center team and located in our Menlo Park office.

Responsibilities:

Leverage data and business principles to create and drive large scale FB Data Center programs.Define and develop the program for metrics creation, data collection, modeling, and reporting the operational performance of Facebooks data centers.Work cross-functionally to define problem statements, collect data, build analytical models and make recommendations.Be a self-starter, motivated by a passion for developing the best possible solutions to problems.Identify and implement streamlined processes for data reporting and communication.Use analytical models to identify insights that are used to drive key decisions across the organization.Routinely communicate metrics, trends and other key indicators to senior leadership.Provide leadership and mentorship to other members of the team.Lead and support various ad hoc projects, as needed, in support of Facebooks Data Center strategy.Build and maintain data driven optimization models, experiments, forecasting algorithms and capacity constraint models.Leverage tools like R, Tableau, PHP, Python, Hadoop & SQL to drive efficient analytics.

Mininum Qualifications:

Degree in an analytical field (e.g. Computer Science, Engineering, Mathematics, Statistics, Operations Research, Management Science).5+ years of prior experience in a role with heavy emphasis on data analysis and metrics development.3+ years of hands-on experience analyzing and interpreting data, drawing conclusions, defining recommended actions, and reporting results across diverse stakeholders.3+ years of SQL development skills writing queries.3+ years of hands-on project management experience.3+ years of experience with data visualization tools.3+ years of experience with packages such as R, Tableau, SPSS, SAS, STATA, etc.2+ years of experience with scripting in Python or PHP.Experience leveraging data driven models to drive business decisions.Experience using data access tools and building visualizations using large datasets and multiple data sources.Ability to think analytically.Ability to distill and communicate data to all organizational levels.Experienced with packages such as NumPy, SciPy, pandas, scikit-learn, dplyr, ggplot2.Understanding of statistics and optimization techniques.Hands-on experience with medium to large datasets (i.e. data extraction, cleaning, analysis and presentation).

Preferred Qualifications:

Technical knowledge of data center operations.




            Read moreSee All",https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=343912&s=58&guid=00000163d0f326e39c5c41d1b65770a3&src=GD_JOB_VIEW&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_8162044d&cb=1528218996501&jobListingId=2669046729
Data Scientist,23andMe,"Mountain View, CA","23andMe is seeking an experienced data scientist to join our Analytics team. We're looking for someone with excellent analytical skills and a great track record applying them to improve the consumer experience.

Who we are

Since 2006, 23andMes mission has been to help people access, understand, and benefit from the human genome. We are a group of passionate individuals pushing the boundaries of whats possible to help turn genetic insight into better health and personal understanding.

What youll do

Engagement and growth: our goal is to provide a high-value, dynamic experience that delights our customers. You will play a key role by analyzing customer behavior, designing experiments, and helping our team build awesome, data-driven products.
Marketing analytics and attribution: what is the optimal way to allocate spend across various customer acquisition channels? How do we measure the effectiveness of non-digital channels like TV and radio?
General data science: the Analytics team at 23andMe is highly cross-functional and works with groups across the company to help solve problems in a rigorous, data-driven way. Example applications include forecasting, web analytics, and data visualization.

What youll bring

M.S. in statistics, engineering or computer science, or equivalent work experience
Skilled in R, Python, and SQL. Google Analytics and AWS are a plus
Self-starter; reliable team player with strong initiative and the ability to thrive in a high-intensity, rapidly changing environment
Excellent communication skills; this role requires regular interaction with team leads from each part of the company
Strong applied statistics and data visualization skills
An online sample of your analytical and/or data visualization abilities is greatly appreciated

About Us

23andMe, Inc. is the leading consumer genetics and research company. Our mission is to help people access, understand and benefit from the human genome. The company was named by MIT Technology Review to its 50 Smartest Companies, 2017 list, and named one of Fast Companys 25 Brands That Matter Now, 2017. 23andMe has over 5 million customers worldwide, with ~85 percent of customers consented to participate in research. 23andMe is located in Mountain View, CA. More information is available at www.23andMe.com.

At 23andMe, we value a diverse, inclusive workforce and we provide equal employment opportunity for all applicants and employees. All qualified applicants for employment will be considered without regard to an individuals race, color, sex, gender identity, gender expression, religion, age, national origin or ancestry, citizenship, physical or mental disability, medical condition, family care status, marital status, domestic partner status, sexual orientation, genetic information, military or veteran status, or any other basis protected by federal, state or local laws. If you are unable to submit your application because of incompatible assistive technology or a disability, please contact us at accommodations-ext@23andme.com. 23andMe will reasonably accommodate qualified individuals with disabilities to the extent required by applicable law.

Please note: 23andMe does not accept agency resumes and we are not responsible for any fees related to unsolicited resumes. Thank you.



            Read moreSee All",https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=242952&s=58&guid=00000163d0f326e39c5c41d1b65770a3&src=GD_JOB_VIEW&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_61718199&cb=1528219000227&jobListingId=2738243083
Data Scientist,Stripe,"San Francisco, CA","Generate insights and impact from data.


We're looking for data scientists to join the Analytics team who are excited about applying their analytical skills to understand our users and influence decision making. If you are naturally data curious, excited about deriving insights from data, and motivated by having impact on the business, we want to hear from you.
You will:

Work closely with product and business teams to identify important questions and answer them with data.




Apply statistical and econometric models on large datasets to: i) measure results and outcomes, ii) identify causal impact and attribution, iii) predict future performance of users or products.




Design, analyze, and interpret the results of experiments.




Drive the collection of new data and the refinement of existing data sources.




Create analyses that tell a story focused on insights, not just data.


We're looking for someone with:

3+ years experience working with and analyzing large data sets to solve problems.




A PhD or MS in a quantitative field (e.g., Economics, Statistics, Eng, Natural Sciences, CS).




Expert knowledge of a scientific computing language (such as R or Python) and SQL.




Strong knowledge of statistics and experimental design.




Ability to communicate results clearly and a focus on driving impact.


Nice to haves:

Prior experience with data-distributed tools (Scalding, Hadoop, Pig, etc).


You should include these in your application:

Resume and LinkedIn profile.




Description of the most interesting data analysis youve done, key findings, and its impact.




Link to or attachment of code youve written related to data analysis.







            Read moreSee All",https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=315178&s=58&guid=00000163d0f326e39c5c41d1b65770a3&src=GD_JOB_VIEW&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_590249b0&cb=1528219002287&jobListingId=2280174543
Data Science Engineer (Data Scientist),Plume,"Palo Alto, CA","Job summary

Join a small, highly skilled data science team using state of the art machine learning and data analysis to improve Wi-Fi networking. This position offers the unique opportunity to apply data science to a new area (wireless networking) which itself is deep and scientific. We are engaged in solving difficult problems in prediction, optimization, clustering, and performance.

The data itself is huge in scale, encompassing measurements from millions of users worldwide at time granularity of seconds. And, your work will improve the performance of cool consumer products that your friends are buying!

Responsibilities



Utilize machine learning techniques to develop:

Predictive models of network parameters such as load and interference
Networking anomaly detection
Client behavior classification


Deriving estimates of load, capacity, link rates, etc. from noisy raw measurements
Develop data analysis and dashboards to represent the network statistics we are gathering
Specifying tools and data pipelines to enable real time processing and offline processing, including doing processing load analysis to predict required bandwidth and server computational ability

Qualifications

Strong ability in Python or Scala, good coding skills
Experience with Spark, Cassandra, or MongoDB
Experience working with large databases, high volume of data
Familiarity with concepts from statistics
Experience and fundamental understanding of machine learning techniques
Bachelors degree or higher in Electrical Engineering, Computer Science, Statistics

Experience Desired

Some experience or background with networking is desired. It is preferred if the candidate has experience applying Big data/machine learning to networking.
Real time algorithm development and implementation (responding to changing inputs in seconds)
Experience estimating processing and communications requirements for various data pipelines/learning systems
Experience with Spark Streaming
Experience with a range of data analysis techniques: linear regression, random forest, clustering, Factor analysis, supervised and unsupervised learning, STL analysis, graph algorithms, etc.




            Read moreSee All",https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=273847&tgt=APPLY_START&s=58&guid=00000163d0f326e39c5c41d1b65770a3&src=GD_JOB_VIEW&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_ef05b11f&cb=1528219004431&jobListingId=2589425906
Data Scientist,Esri,"Redlands, CA","OverviewMachine learning is the top focus of almost every technology company--from the Silicon Valley to New York to around the world. What makes this type of technology so powerful? Context. Focusing on the where allows us to make sense of our businesses, lives, and world, whether that’s through automating portions of workflows to save companies millions of dollars or predicting life-altering events. We are looking for talented machine learning engineers to help build industry-leading predictive geospatial solutions for our customers in 160+ countries. We need a data scientist who is an individually driven, passionate professional to help us create machine learning best practices, not only within Esri but also for the broader GIS community. This game-changing opportunity requires someone with strong hands-on, proven experience with statistical analysis, machine learning, predictive analytics, and software engineering. If you are passionate about changing the world, literally, through machine learning you are in the right place. Where will you leave your mark?

Responsibilities:

Identify and solve problems. Apply data mining and machine learning techniques, perform statistical analysis, and build high-quality prediction systems that solve our customers' business problems. Explore, interpret, and analyze datasets for patterns of interest.
Understand our customers. Work closely with various teams to understand our customers’ needs, eventually crafting and pitching machine learning use cases to them.
Deliver results. Model business problems to supervised/unsupervised learning algorithms, map business data to features, perform proper feature engineering, iterate with different models, and conduct hyper parameter optimization to yield highest model performance.
Impact change. Help build the data science and machine learning capability inside Esri by developing best practices and patterns for geospatial machine learning, developing reusable technical components for demos and POCs, and identifying and helping establish the needed technology stack and infrastructure. Keep up-to-date with latest technology trends in machine and deep learning and quickly learn about new frameworks/techniques to be used in projects delivery.

Requirements

1+ years of practical machine learning experience
Deep understanding of machine learning techniques and algorithms, such as k-NN, Naive Bayes, SVM, Decision Forests, etc.
Experience with spatial data and/or GIS
Experience in at least one of these toolkits: R, Weka, SciKitl-learn, MATLAB
Familiarity with machine learning frameworks/libraries/packages/APIs (e.g., Theano, Spark MLlib, H2O, TensorFlow, PyTorch, etc.)
Proven experience in ETL, data processing, transformation, cleaning, and data warehousing techniques
Experience with applied statistics skills, such as distributions, statistical testing, and regression
Experience with widely used probability methods (conditional probability, Bayes rule, likelihood, independence, etc.)
Experience with time series analysis
Experience with data visualization techniques and tools (e.g., ggPlot2)
Strong software engineering background (OOP, data structures, algorithms, computability, and complexity)
Excellent conversation and communication skills
Bachelor’s in a relevant quantitative field, such as statistics, operations research, or computer science, depending on position level (master's or PhD preferred)

Recommended Qualifications:

Familiarity with deep learning techniques: mainly CNNs and RNNs. GANs and RL experience is a plus.
Proven understanding of multivariable calculus and linear algebra
Experience dealing with massive data sets, using big data tools (Hadoop HDFS, MapReduce, Accumulo, Presto, MongoDB, Cassandra, HBase, R, Mahout, Pig, and Hive, DC/OS)
Hands-on experience and expertise with cloud computing services (AWS, Azure, etc.)


The CompanyOur passion for improving quality of life through geography is at the heart of everything we do. Esri’s geographic information system (GIS) technology inspires and enables governments, universities, and businesses worldwide to save money, lives, and our environment through a deeper understanding of the changing world around them.

Carefully managed growth and zero debt give Esri stability that is uncommon in today's volatile business world. Privately held, we offer exceptional benefits, competitive salaries, 401(k) and profit-sharing programs, opportunities for personal and professional growth, and much more.

Esri is an equal opportunity employer (EOE) and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability status, protected veteran status, or any other characteristic protected by law.



            Read moreSee All",https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=177703&s=58&guid=00000163d0f326e39c5c41d1b65770a3&src=GD_JOB_VIEW&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_56609294&cb=1528219006633&jobListingId=2722543662
Data Scientist,Rakuten,"San Mateo, CA","Rakuten, Inc. is the largest ecommerce company in Japan, and

third largest ecommerce marketplace worldwide. Rakuten seeks to empower

merchants to deliver Omotenashi, a hospitality mindset, which helps sellers

create lasting relationships with customers.

At Rakuten, we offer competitive salaries, benefits, annual

bonuses, a stocked kitchen (including catered breakfast and lunch daily), and a

dynamic office environment in San Mateo, CA. We love investing in our people

and when it comes down to it, we think our entire team is pretty awesome. As a

technology focused company, we understand the importance of an energizing

atmosphere that promotes collaboration and innovation.

The Role:

Working as part of

the Global Data Office you will be part of the team that provides data science

solutions and data platform services at global scale. Leveraging diversity of data sources owned

by Rakuten group companies, you will deliver technology to effectively collect,

manage, and provide group-wide data. You will proactively identify business

needs from various companies and implement advanced analytics solutions to

create business value.

Responsibilities:

· 

Work with stakeholders throughout the organization

to identify opportunities for leveraging company data to drive business

solutions.

· 

Retrieve data required for analyses from

internal/external sources while ensuring data quality

· 

Perform statistical analyses and build

machine-learning models to deliver insights

· 

Prioritize data science solutions development

opportunities to create maximum business value

· 

Build and test solution prototypes to demonstrate

potential value to management

· 

Standardize and implement solutions across Rakuten

group in an efficient, scalable manner

· 

Collaborate with business managers, engineers, and

R&D teams to effectively identify new opportunities and systemize

development operations/process

· 

Follow trends in modern technology (AI)

and propose innovative approaches

Minimum

Qualifications:

· 

Masters in

Computer Science, Mathematics, Statistics, or related field

· 

2+ years of

experience as a data scientist

· 

Experience building

end-to-end data pipeline solutions.

· 

Solid background in

SQL, and a statistical computer language (Python, R).

· 

Knowledge of a

variety of machine learning techniques (GLM/regression, decision tree learning,

boosting, deep neural networks, text mining, etc.) and their

advantages/drawbacks

· 

Ability to identify, summarize, and

visualize business issues

· 

Self-motivated, team-oriented,

responsible, and reliable with a positive attitude and strong communication

skills

Preferred

Qualifications:

· 

PhD in Computer Science, Physics,

Mathematics, Statistics, Engineering, or relevant field

· 

Vast experience

in industry application of statistics for data analysis (hypothesis testing,

Bayesian analysis, time series analysis, experimental design, power and sample

sizes, etc.)

· 

Experience with

big data tools (Hadoop, Hive, etc.)








            Read moreSee All",https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=320306&s=58&guid=00000163d0f326e39c5c41d1b65770a3&src=GD_JOB_VIEW&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_c5ceb88c&cb=1528219008772&jobListingId=2668224058
Data Scientist,Credit Karma,"San Francisco, CA","Credit Karma’s fast growing Data Sciences team is seeking an experienced Senior Data Scientist. This role will allow a motivated individual to make a significant impact across the organization by delivering the most relevant content to our users and by helping drive accelerated revenue growth.What the job entailsPartner with stakeholders across the organization to identify high-impact opportunities to leverage our extensive data to better serve our users.Drive the creation of comprehensive datasets encompassing user profiles and behaviors, and incorporating a wide variety of signals and data types.Assess the potential usefulness and validity of new statistical approaches and data sources.Build complex predictive models to substantially improve and continuously optimize user engagement and revenue generation.Rapidly develop proof-of-concept prototypes to prove out hypotheses.Reach across multiple functions, such as Product Management and Data Engineering, to implement the models into production and to monitor their performance.Motivate and mentor other data scientists to grow their skills and careers.Our ideal candidateAdvanced Degree (Ph.D./MS) in Statistics or a related quantitative discipline.3+ years of experience building and implementing complex models in a fast-paced corporate environment, ideally dealing with problems relevant to revenue, product, and/or marketing.Experience with advanced modeling techniques, such as collaborative filtering, matrix factorization, time series analysis, and mixed-effect models, and learning techniques such as boosting and random forests.Expert knowledge of R, Python, and SQL, or similar industry standard tools used for large-scale data analysis and modeling.Experience with Machine Learning and Big Data technologies such as Map/Reduce, Hadoop, Hive, and Spark is a big plus.Programming experience in Scala, Java, or C++, and familiarity with UNIX command line and core tools would be very helpful.Recent experience with a consumer facing online company and/or prior exposure to consumer financial products is highly desirable.Self-motivated, results oriented, enthusiastic, and a creative thinker.#LI-AS1 



            Read moreSee All",https://www.glassdoor.com/partner/jobListing.htm?pos=109&ao=292579&s=58&guid=00000163d0f326e39c5c41d1b65770a3&src=GD_JOB_VIEW&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_90282666&cb=1528219010986&jobListingId=2270792970
Data Scientist,Qventus,"Mountain View, CA","Want to unlock insights from data to help doctors and nurses?Apply to be on our data science team!
Have you ever found yourself or a loved one waiting hours and hours in a hospital Emergency Room to get care? Did you ever feel there weren't enough nurses to take care of all the patients in your area of the hospital? Or have you ever had a surgery scheduled for months in the future that needed to happen sooner? Unfortunately our healthcare system is full of these types of operational problems. Qventus is looking for data scientists who can help redefine how healthcare systems work. Our work saves lives and helps hospitals cut tens of millions of dollars in operational costs, while improving the quality of care they’re able to deliver.Examples of problems you may solve



Predicting spikes of incoming patients that could overload a hospital and suggesting solutions Modeling patient flow through the hospital and better schedule nurses and doctorsIdentifying and notifying staff of patients who appear to be ‘slipping through the cracks’ of the care processHelp identify patients who might be high risk for readmission in to the health system


Requirements



Have 4 to 8+ years of experience working directly with data or industry experienceBe comfortable with Python and its data centric libraries (numpy, scipy, etc), and SQL.Have Machine Learning / Stats chopsNot only possess the ability to work with data but also to build systems around itHave a passion for making our healthcare system work better!


The role is a full-time position and will be based out of Mountain View. We all deeply care about improving healthcare for patients across the country while having fun working with each other. As such to be a good fit for the company we will look for:



Passion to use your coding skills to solve real and hard problems Ready to 'step outside' your role to help teammates Highly dependable Capable of independent execution Mature and an excellent listener


Apply if you are interested in helping us fix healthcare!



            Read moreSee All",https://www.glassdoor.com/partner/jobListing.htm?pos=110&ao=266082&s=58&guid=00000163d0f326e39c5c41d1b65770a3&src=GD_JOB_VIEW&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_2a6df551&cb=1528219013270&jobListingId=2747430590
