company,location,position,time
Agoda,"San Francisco, CA",Data Science Manager - Bangkok,
Glassdoor,"Mill Valley, CA","Lead Data Scientist, Decision Science",5
StubHub,"San Francisco, CA",Revenue Modeling & Data Science Lead,8
NinthDecimal,"Mountain View, CA",Data Scientist,
Zoosk,"San Francisco, CA","Director, Data Science",7
Agilent Technologies,"Santa Clara, CA",Data Scientist,6
"Auris Health, Inc.","Redwood City, CA",Staff Systems Engineer - Advanced Development,
American Century Investments,"Mountain View, CA",Data Scientist,27
SugarCRM,"Cupertino, CA",Software Engineer - AI / Machine Learning / Data Science,6
Monster Worldwide,"San Francisco, CA",Intern - Data Science,
Uber,"San Diego, CA",Data Science Manager - Advanced Analytics,15
CynergisTek,"Roseville, CA",Privacy and Information Security Risk Management Analyst,28
PayPal,"San Jose, CA",Data Scientist,21
Datastax,"Santa Clara, CA",Data Science Intern,
Stripe,"San Francisco, CA",Data Scientist,12
PayPal,"San Jose, CA","Data Analyst, Entry Level (Graduate Degree)",
Elevate Credit,"San Diego, CA","Director, Data Science - Aquisitions",13
Thermo Fisher Scientific,"Carlsbad, CA",Sr. Audience Developer - Data Science,
San Francisco Health Plan,"San Francisco, CA","Director, Business Intelligence/Healthcare Analytics",11
Castlight Health,"San Francisco, CA",Data Science Intern,
Lookout,"San Francisco, CA",Staff Data Engineer,5
Western Digital,"Irvine, CA","Technologist, Data Science Engineer",
Amgen,"Thousand Oaks, CA",Principal Engineer of Data Science,
23andMe,"Mountain View, CA",Data Scientist,14
Square,"San Francisco, CA",Data Science Intern,8
Stanford School of Medicine,"Stanford, CA",Data Scientist,26
Cylance Inc.,"Irvine, CA",Senior Data Science Engineer,14
Domino Data Lab,"San Francisco, CA",Customer Success Manager,
"Fullpower Technologies, Inc.","Santa Cruz, CA",Android Software Engineer,5
Agoda,"San Francisco, CA","Product Owner, Marketing",21
"Fullpower Technologies, Inc.","Santa Cruz, CA",Database Development Engineer,15
Hart,"Costa Mesa, CA",Data Integration Engineer (SQL),23
BCG Digital Ventures,"Irvine, CA",Measurement Scientist,26
Credit Karma,"San Francisco, CA",Data Scientist,
Zoosk,"San Francisco, CA",Payments Manager/Data Analyst,
Denali,"South San Francisco, CA",Data Science Intern,
Factual,"Los Angeles, CA",Associate Data Scientist,25
Facebook,"Menlo Park, CA","Data Science Manager, Analytics",5
Fuscoe Engineering,"Irvine, CA",Data Science Technician,16
ARM Holdings,"San Jose, CA",Head of Data Science,23
Aera Technology,"Mountain View, CA",Senior Data Scientist,
Mercy General Hospital,"Sacramento, CA",RN Quality Management Data Analyst,26
Equinix,"Sunnyvale, CA",Intern: Data Science,25
KORE1 Technologies,"Irvine, CA",Data Scientist,
Amgen,"Thousand Oaks, CA",Associate Data Science (UR),
Rainforest QA,"San Francisco, CA",Data Science Generalist,7
Amgen,"Thousand Oaks, CA",Director - Data Science Acceleration,
Hulu,"Santa Monica, CA",Data Scientist,
University of California,"Los Angeles, CA",DATA SCIENCE INTERN (STUDENT II),6
BOLD,"San Francisco, CA",Data Scientist,23
Amgen,"Thousand Oaks, CA",Data Science Manager,
Glassdoor,"Mill Valley, CA","Director, Product Marketing",21
Import.io,"Los Gatos, CA",Business Operations - Data Analyst,
Experian,"San Jose, CA",Artificial Intelligence/Machine Learning Software Development Engineer,7
Retention Science,"Santa Monica, CA",Data Scientist,14
ZEFR,"Venice, CA",Data Science Intern,13
Amgen,"Thousand Oaks, CA",Sr. Associate - Data Science (UR),
AutoGrid,"Redwood City, CA",Data Science Intern,13
Riot Games,"Santa Monica, CA",Data Scientist,12
Elevate Credit,"San Diego, CA",Sr. Data Scientist,6
"Quora, Inc.","Mountain View, CA",Data Scientist Intern,
AlphaFlow,"San Francisco, CA","Director, People Operations",14
Cisco Systems,"San Jose, CA",Data Scientist,
Looker,"Santa Cruz, CA","Data Analyst Consultant, Professional Services",16
"Fullpower Technologies, Inc.","Santa Cruz, CA","Software Engineer, Natural Language Processing",19
Cisco Systems,"San Jose, CA",Director of Data Strategy and Science,7
Agilent Technologies,"Santa Clara, CA",R&D Data Scientist,12
Domino Data Lab,"San Francisco, CA",Site Reliability Engineer,6
Launch Consulting,"Roseville, CA",Data Scientist,12
Glassdoor,"Mill Valley, CA",Lead Data Engineer,9
Cencal Health,"Santa Barbara, CA",Sr. UM/CM Data Analyst,21
Stripe,"San Francisco, CA",Data Scientist Intern,
Verizon Wireless,"Irvine, CA",Data Scientist,27
PETCO,"San Diego, CA",Director Data Science & Analytics,7
Osmo,"Palo Alto, CA",Data Science Intern,
Hart,"Costa Mesa, CA","Software Engineer, Data Platform",
Inland Empire Health Plan,"Rancho Cucamonga, CA",Developer II - Data Warehouse,23
Tangible Play,"Palo Alto, CA",Data Science Intern,
City of San Diego,"San Diego, CA",Data Science and Analytics Program Coordinator,
Glassdoor,"Mill Valley, CA","Lead Data Scientist, Machine Learning",7
BOLD,"San Francisco, CA",Associate Data Science,23
Facebook,"Menlo Park, CA",Data Science Manager - Customer Insights,
Nortek Security & Control,"Carlsbad, CA",Bus Systems & Data Analyst ERP/MRP,11
NTT DATA,"San Francisco, CA",Sales Executive - Life Sciences Vertical,14
Blue Shield of California,"San Francisco, CA",Health Data Analyst IV,21
Advanced Clinical,"San Francisco, CA","Associate Director, Statistical Programming",4
Plume,"Palo Alto, CA",Data Science Engineer (Data Scientist),
Fitbit,"San Francisco, CA","Senior Data Engineer, Global Operations",19
Amgen,"Thousand Oaks, CA",Data Scientist,
"Fullpower Technologies, Inc.","Santa Cruz, CA",Senior Android Software Engineer,5
oDesk,"San Francisco, CA",Vice President of Data Science and Search Engineering,7
Esurance,"Rocklin, CA",Sr Product Data Analyst,
Glassdoor,"Mill Valley, CA",Senior DevOps Engineer (Big Data),9
Facebook,"Menlo Park, CA","Data Science Manager, SMB",14
Amgen,"Thousand Oaks, CA",PD Postdoctoral Fellow - Biophysical Chemistry and Data Science,
"Pixalate, Inc.","Playa Vista, CA",Data Science Intern - PhD/Masters,
Zoosk,"San Francisco, CA",Senior Data Analyst,6
Roku,"Los Gatos, CA",Senior Data Science Architect,
UCLA Health,"Westwood, CA",Data Science Intern,
NetApp,"Sunnyvale, CA",Enterprise Architect Data Science,8
University of California,"San Francisco, CA",Data Science Specialist,
Upstart,"San Carlos, CA",Data Scientist,
BCG Digital Ventures,"Irvine, CA",Senior Data Scientist for a Stealth Venture,26
BlueVine,"Redwood City, CA",Senior Business Analyst,12
Walmart eCommerce,"San Bruno, CA",Data Scientist Intern - Summer,
PayJoy,"San Francisco, CA",Head of Risk & Data Science,8
Sojern,"San Francisco, CA",Senior Data Science Engineer,
ASML,"San Jose, CA",Data Scientist,
Stitch Fix,"San Francisco, CA",Manager of Data Science,0
Get Insured,"Mountain View, CA",Sr. Software Engineer,20
Johnson & Johnson,"Irvine, CA","Senior Data Scientist, Data Sciences and Advanced Analytics R&D Technology",13
Dollar Shave Club,"Marina del Rey, CA","Director of Engineering, Data Science & Engineering",
Agilent Technologies,"Santa Clara, CA",Digital Data Scientist,27
Indeed,"San Francisco, CA",Data Science Manager,
eBay,"San Francisco, CA",Sr. Data Science Manager,0
"Software Technology, Inc","San Diego, CA",Data Scientist,
