position,company,location,description,link
Data Scientist - New Grad,"Quora, Inc.","Mountain View, CA","Because Quora is such a data-driven company, our data scientists play a central role in the product development process by uncovering key insights from our data. As a data scientist, you'll work closely with engineers, product designers, and product managers to devise appropriate measurements and metrics, design randomized controlled experiments, build visualizations, and tackle hard, open-ended problems. You'll also develop tools and infrastructure to scale and automate the analyses that enable rapid product iteration. Quora has a wide range of rich data, giving you ample room for exploration and creativity. Examples of some projects our data scientists have worked on include modeling our long-term growth, improving the relevance and personalization of the homepage feed, and exploratory factor analysis of user behavior. We use a variety of tools--primarily Python and SQL--to analyze data and communicate results with the rest of the company.
While Quora's data scientists come from a variety of backgrounds, including chemical engineering, mathematics, and physics, we all share a love for data and continuous learning. Especially in your first role post-graduation, we realize that mentorship is important for professional growth and development. Every data scientist has a mentor and weekly 1:1s with their managers to get feedback and ensure things are going well. 
For examples of data science work, see Quora's Data blog: https://data.quora.com/
Things we look for include:


B.S., M.S., Ph.D. in a scientific or quantitative field, for example: Statistics, Computer Science, Physics or Cognitive ScienceExcellent statistical intuition and knowledge of various analytical approachesCuriosity and passion for QuoraSuperb communication skills and ability to explain your analysis clearlyProficiency in SQLProficient with Python or similar scripting languageExperience in working with large data sets and distributed computing tools (Hive, Redshift) is a plusPassion for learning and always improving yourself and the team around you

We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status. 



            Read moreSee All",https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=137175&s=58&guid=00000163d279fd7d920c9d4362241cf2&src=GD_JOB_VIEW&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_d498f8be&cb=1528244606710&jobListingId=2522329062
Data Scientist - New Grad,Yelp,"San Francisco, CA","At Yelp, we see our 148 million reviews not only as a great source of information about the best salted caramel ice cream in San Francisco, but also as a vast storehouse of data. You will help us use that data to connect our users with great local businesses. You will work tightly with the Product and Engineering teams to answer questions ranging from who is more likely to like a flavor of ice cream to which experimental features move the needle. In this role you’ll be tackling a variety of projects ranging from design and analysis of A/B tests to data-driven blog posts. As your role grows you’ll identify new analyses, scope new data-driven products and help us define new metrics.
If you’re passionate about asking and answering questions in large datasets and you are able to communicate that passion to product and engineering teams, we want to hear from you!We Are Looking For:



Minimum BA/BS degree in Statistics, Math, Physics, Computer Science or related quantitative discipline Endless ideas about how to leverage Yelp's unique data setExperience with analytical and quantitative problem solvingFluency with analysis tool(s) such as Pandas or RFamiliarity with at least one scripting language such as PythonFamiliarity with relational databases and SQLComfortable working in a Unix environmentExperience with MapReduce, Hadoop, Hive or similar systems is a plusSpecific interest in search engines, recommendation systems, or social networksIf you have 2+ years of industry experience in a quantitative role, please apply here. 



What You Will Do:



Define key metrics to track Yelp’s performance and inform product decisions.Assess and frame questions from partners into actionable deliverables.Design, execute, and analyze complex experiments impacting millions of users.Devise and evaluate models for diverse business needs, such as identifying growth opportunities, personalizing user experience, and matching consumers to businesses.Own analyses start-to-finish and communicate key insights to stakeholders.Share your technical skills to develop and maintain high-quality, reusable analysis tools.


Interested in applying? 
Sweet! Share with us why you want to work at Yelp and don't forget to mention any side projects, academic papers, and personal websites/blogs.



            Read moreSee All",https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=133029&s=58&guid=00000163d279fd7d920c9d4362241cf2&src=GD_JOB_VIEW&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_74ca3bc8&cb=1528244619445&jobListingId=2697694396
New Grad - Data Scientist,Viasat,"Boston, MA","Job ResponsibilitiesBecome a personal contributor in our mission to connect the world. Viasat Data Scientists innovate in an environment that encourages collaboration while challenging the status quo. Join the industry leader in satellite communication and technology and take control of your professional pathway.

Our culture empowers us to do the right thing and explore technology that will benefit people across the globe. It is uniquely Viasat and, intentionally, not like any other company.

As a new graduate, we understand that seeking your dreams is your ambition…and achieving them is ours.

Viasat Impact:

Residential broadband service – over 700K customers and growingViasat Satellite technology holds the Guinness World Record for highest capacity communication satelliteOur in-flight Wi-Fi connectivity is presently streaming Amazon Prime and Netflix on providers like JetBlue and United AirlinesSecure communication services - trusted encryption and networking solutions (government, military, critical infrastructure & utilities)

Are you interested in becoming part of a team that will change the way the Internet is experienced? The Acceleration Research and Technology (ART) group of Viasat, Inc (NASDAQ: VSAT) is developing products that will enable the Internet to be experienced as never before. The acceleration technology we are building will enable people to flip through web pages as quickly turning pages in a book.

Though we are part of a well-established public company based in San Diego, ART is a small start-up-like organization just off the Red Line south of MIT.

You will be working with large structured and unstructured data sets to develop and validate algorithms that learn how web pages are structured and evolve over time and will use these models to drive improvements in web page rendering. You will perform data modeling and predictive analysis as well as statistical analysis.Requisition

15759BR

Requirements

Bachelor of Science or Arts degree or higher in Computer Science or Masters of Science or PhD candidate in a discipline requiring strong mathematics and statistical methods1+ years developing software in Java, python, C++ and other high level languages.Relevant experience as described above with a solid background in machine learning, statistical analysis, and software development.Solid background in machine learning, statistical analysis, and clustering algorithmsStrong software development skillsU.S. Citizenship or Lawful Permanent Residence status may be required for some projects in which case, verification of such status will be required upon accepting employment.Up to 10% travel

Preferences

Knowledge and experience with predictive modeling including: Multivariate Regression, Logistic Regression, Combinatorial Optimization, Stochastic Processes, Complex Analysis, Principal Component Analysis and Time Series Analysis.Experience with Matlab, R , or Weka.Experience with using the Agile software development methodology to develop and deliver software so as to support a continuous integration/continuous deployment process.Working knowledge of LinuxStrong communication and presentation skills – you must be able to explain and present hypotheses and analysis results to a wide audience in a clear and concise manner.Experience developing distributed systems


Our Boston office is located in the heart of this historic city, ideally situated in the center of the Financial District, just a block north of South Station. Neighboring the Downtown Crossing shopping district, Chinatown, and the Leather District’s trendy residences and restaurants, our downtown high-rise suite is so close to Boston Harbor employees can kayak during lunch.

Boston is one of the “Most Walkable,” “Most Transit-friendly,” and “Most Bike-friendly” cities in America and is known for its world-renowned colleges, tech start-ups, avid sports fans, and rich American history.

Our Boston site is also close enough to Viasat’s Marlborough, MA office – a 50-minute drive on I-90 - that employees can work in either office.

If you are ready to take control of your career and help illuminate the world for those who have been in the dark, you might be ready to join our team. Please take a minute to submit your resume. We will let you know once we’ve received it and will follow up with you if there is a possible match. This could be the start of something amazing!

**

ViaSat is an EEO/AA/Disability/Protected Veteran Employer. U.S. Citizenship or Lawful Permanent Residence status may be required for certain positions. For positions requiring U.S. Citizenship or Lawful Permanent Resident status, verification of such status will be required upon accepting employment.




            Read moreSee All",https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=142359&s=58&guid=00000163d279fd7d920c9d4362241cf2&src=GD_JOB_VIEW&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_b69b626c&cb=1528244622198&jobListingId=2748216148
Machine Learning Scientist (University Grad),Electronic Arts,"Redwood City, CA","We are EA

And we make games how cool is that? In fact, we entertain millions of people across the globe with the

most amazing and immersive interactive software in the industry. But making games is hard work. Thats

why we employ the most creative, passionate people in the industry.

The Challenge Ahead:

The EA Digital Platform Intelligent Systems Group is responsible for providing unified AI resources across

all franchises within Electronic Arts. Our group develops AI and data driven solutions to game team

problems. From data modeling to agent building, we utilize a modern, cloud-based tech stack with bestin-

class tools to provide solutions and platforms empowering the future state of game development,

marketing, sales, and player experience.

Whats in it for you? Glad you asked!

We love to brag about our great perks like comprehensive health and benefit packages, tuition

reimbursement, and 401k with company match and, of course, free video games. And since we realize it

takes world-class people to make world-class games, we offer competitive compensation packages and a

culture that thrives on creativity and individuality. At EA, we live the work hard/play hard credo every

day.

What does a ML Scientist at EA do?

• Analyze and extract key insights from EAs rich store of player and gameplay data using machine

learning techniques

• Create scalable solutions for problems in the gaming domain

• Design, develop and evaluate highly innovative models for predictive learning applications like

recommendations and targeting

• Work closely with game teams to identify target problems with impact

• Work closely with the core development teams to deploy models seamlessly as part of production

systems

• Establish scalable, efficient, automated processes for large scale data analyses, model

development, model validation and model implementation

• Research and implement novel machine learning algorithms for new business problems.

Our next ML Scientist at EA should have:

• PhD. in Computer Science, or related field, with a focus on machine learning

• Track record of having developed novel machine learning algorithms, SIGKDD/ICML/NIPS

publications a plus

• Hands-on experience in predictive modeling and analysis over large volumes of data

• Strong problem solving ability

• Strong programming skills (object oriented and functional paradigms)

• Experience with large scale distributed programming paradigms experience with the Hadoop

stack (HDFS/MR/Pig/Hive) a plus

• Experience with analytic tools such as Spark, R, SAS, Matlab or SPSS

• Experience with SQL and MPP databases

• Excellent written and verbal communication and skills

EA is an equal opportunity employer. All employment decisions are made without regard to race, color, national origin, ancestry, sex, gender, gender identity or expression, sexual orientation, age, genetic information, religion, disability, medical condition, pregnancy, marital status, family status or veteran status. We will also consider for employment qualified applicants with criminal records in accordance with applicable law.



            Read moreSee All",https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=37049&s=58&guid=00000163d279fd7d920c9d4362241cf2&src=GD_JOB_VIEW&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_dddc1686&cb=1528244627521&jobListingId=2776746671
Data Scientist,Expedia,"Bellevue, WA","ExpediaWe are looking for a data scientist to join the marketing team for the worlds leading travel company. Your work will impact millions of our customers worldwide. The focus of your job will be ensuring operational excellence and optimizing marketing across various aspects of highly complex global marketing campaigns.

We spend hundreds of millions of dollars a year participating in highly dynamic and visionary auctions in travel Metasearch (TripAdvisor, Kayak, Trivago) and SEM (Google, Bing, Yahoo) as well as social media (Facebook). Each of these marketing channels center around a rich central data science problem - from deriving value from sparse data to auction and game theory - all with the ability to layer in and action on user segmentation and behavioral data. Your real passion for operations, analytics and data science has the power to unlock tangible growth for our business. This is an exciting opportunity for someone passionate about data to improve effectiveness of a marketing function which runs on products, algorithms and engineering.Primary duties and responsibilities:You will...

Use statistics, distributions and confidence intervals to make decisions based on data. Manipulate large data sets for business insights and implement solutionsTroubleshoot and identify root cause of operational issues (e.g. data quality, critical process degradation)Refine auction bidding algorithms using prediction modeling and optimizationCommunicate complex analytical topics in a clean & simple way to multiple partners and senior leadership (both internal & external)Automate and/or streamline repetitive processes to improve individual and team productivityCollaborate with Partners, Product and Technical Teams to contribute to Social products and tools development (APIs, bidding tools, dashboards, etc.) and influence prioritization

Required qualifications:

Bachelors degree in a quantitative field, such as Statistics, Engineering, Applied MathematicsMinimum 5 years of relevant work experience with post grad degreeStrong quantitative, analytical and problem-solving skills, combined with a high level of initiative and ability to thrive in a multi-tasking, dynamic environmentFoundational statistics experience (e.g. t-tests, distributions)Expertise with one or more scripting languages (e.g. Python, R)Comfortable writing and working with complex queries in SQL/HadoopShown success working cross-functionally

Preferred qualifications:

Masters degreeApplied experience with data mining and analytic methods such as Clustering / Cluster Analysis, Factor Analysis, Regression Models, Logistic Regression, Predictive Modeling, optimization modelsExperience in online marketing, e-commerce, or equivalent role with an analytical bend


Expedia is committed to creating an inclusive work environment with a diverse workforce. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability, age, or veteran status. This employer participates in E-Verify. The employer will provide the Social Security Administration (SSA) and, if necessary, the Department of Homeland Security (DHS) with information from each new employee's I-9 to confirm work authorization.



            Read moreSee All",https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=132921&s=58&guid=00000163d279fd7d920c9d4362241cf2&src=GD_JOB_VIEW&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_9f88b8e6&cb=1528244630888&jobListingId=2768315756
"Quantitative Researcher, Growth - University Grad",Facebook,"Menlo Park, CA","Facebook's mission is to give people the power to build community and bring the world closer together. Through our family of apps and services, we're building a different kind of company that connects billions of people around the world, gives them ways to share what matters most to them, and helps bring people closer together. Whether we're creating new products or helping a small business expand its reach, people at Facebook are builders at heart. Our global teams are constantly iterating, solving problems, and working together to empower people around the world to build community and connect in meaningful ways. Together, we can help people build stronger communities we're just getting started.To succeed we need to understand the unique character of each of the worlds communities, what Facebook means or could mean to them, and how best to make our technology work for them. Were looking for people with strong quantitative research skills to help in this effort.

The ideal candidate will be a social scientist with expertise in quantitative research methodologies OR a quantitative specialist with experience solving social problems. Theyll be comfortable improvising and have the ability to work cross-functionally and thrive in a fast-paced organization. All product groups across Facebook are hiring including Instagram.

Responsibilities:

Help shape the research agenda and drive research projects from end-to-endCollaborate with product teams to define relevant questions about user growth and engagementDeploy appropriate quantitative methodologies to answer those questionsDevelop novel approaches where traditional methods wont doCollaborate with qualitative researchers as needed and iterate quickly to generate usable insights for product and business decisionsDeliver insights and recommendations clearly to relevant audiences

Mininum Qualifications:

Experience communicating analyses and results to any audienceCurrently has or in the process of obtaining Ph.D. in the social sciences (e.g., Psychology, Communication, Sociology, Political Science, Economics), or in a quantitative field (e.g., Statistics, Informatics, Econometrics) with experience answering social questionsExperience in data manipulation and analysis (R/SAS/Stata, SQL/Hive)Experience in quantitative research methodologies (e.g., survey sampling and design, significance testing, regression modeling, experimental design, behavioral data analysis)Ability to obtain work authorization in the United States in 2018

Preferred Qualifications:

Experience with Unix, Python, and large datasets (> 1TB)Experience asking, as well as answering, meaningful and impactful questions




            Read moreSee All",https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=132920&s=58&guid=00000163d279fd7d920c9d4362241cf2&src=GD_JOB_VIEW&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_bfc878d3&cb=1528244634784&jobListingId=2669048346
New Grad - Research Scientist (PhD),Visa,"Palo Alto, CA","Company DescriptionCommon Purpose, Uncommon Opportunity. Everyone at Visa works with one goal in mind making sure that Visa is the best way to pay and be paid, for everyone everywhere. This is our global vision and the common purpose that unites the entire Visa team. As a global payments technology company, tech is at the heart of what we do: Our VisaNet network processes over 13,000 transactions per second for people and businesses around the world, enabling them to use digital currency instead of cash and checks. We are also global advocates for financial inclusion, working with partners around the world to help those who lack access to financial services join the global economy. Visas sponsorships, including the Olympics and FIFA World Cup, celebrate teamwork, diversity, and excellence throughout the world. If you have a passion to make a difference in the lives of people around the world, Visa offers an uncommon opportunity to build a strong, thriving career. Visa is fueled by our team of talented employees who continuously raise the bar on delivering the convenience and security of digital currency to people all over the world. Join our team and find out how Visa is everywhere you want to be.

Visa will consider for employment qualified applicants with criminal histories in a manner consistent with the requirements of Article 49 of the San Francisco Police Code.Job DescriptionVisa Research is a newly created research organization as part of the company's effort on expanding its technology research capabilities globally.

Visa Research conducts both applied and fundamental research. It engages with the company's technology and product teams, business partners, academics, and governments, to explore and develop technologies that are critical to the payments industry in the future.

Visa Research currently focuses on building research teams in three key areas: Data Analytics, Security, and Future of Payment. We are looking for outstanding researchers and engineers at all levels of experience as part of the founding team in the Data Analytics area, reporting to the Head of Data Analytics.

Data Analytics

Our mission at the Data Analytics team is to unlock the hidden value in these massive high-quality financial data, and decode the language of transactions to drive innovation in the payment industry and beyond. We conduct applied research in machine learning and related fields to deliver unique insights and capabilities to our partners and clients to help them grow their businesses. Our research areas include deep learning applications in financial data, supervised and unsupervised representation learning, predictive modeling for fraud and risk management, consumer behavior modeling, recommendation systems, scalable machine learning systems, privacy preserving data analytics, and related fields.

Security

Visa Researchs goal of security is to enable policy-enforced, full lifecycle protection for data at rest, in transit and during computation for all payment-related scenarios. We accomplish this through fundamental and applied research in three areas:

Advances in Cryptography 

Secure Computing 

Secure Data Acquisition and Analysis

Blockchain



Our Blockchain research focuses on understanding the fundamentals of cryptocurrencies and Blockchain technology. We explore ways to advance the science of Blockchain technology and enable the discovery of real-world payment. We collaborate with top universities and the worlds leading Blockchain researchers to develop technologies that promise to transform the financial industry in the decade ahead.Qualifications


Recently completed or soon to be completed PhD study in Computer Science, Electrical Engineering, Statistics and related field

Strong track record in research publications and impact in the research community.

Strong verbal and written communication skills.

Demonstrated ability to think outside the box and innovate.

Experience in payments or related industry is desire

Data Analytics: Proficiency with object oriented programming languages, such as C++, Java, Python, and Lua. Experience with large scale data processing using Hadoop and MapReduce.

Security: Experience in one or more of the following areas: mobile and distributed systems/cloud computing security, protocols and network security, cryptography and cryptanalysis, payments and cryptocurrencies, data and application security, malware and program analysis, user and data privacy, assurance and formal methods, and related fields.

Blockchain: Research experience in Cryptocurrencies, Blockchain, Distributed Database, In-memory Database, data security algorithms. Proficiency with object oriented programming languages, such as Go, Haskell, Scala, Java and Python.


Additional InformationVisa will consider for employment qualified applicants with criminal histories in a manner consistent with the requirements of Article 49 of the San Francisco Police Code.



            Read moreSee All",https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=133472&s=58&guid=00000163d279fd7d920c9d4362241cf2&src=GD_JOB_VIEW&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_2d48bba0&cb=1528244641409&jobListingId=2769238535
Machine Learning Scientist (University Grad),Capital Games,"Redwood City, CA","Electronic Arts Inc. is a leading global interactive entertainment software company. EA delivers games, content and online services for Internet-connected consoles, personal computers, mobile phones and tablets.

We are EA

And we make games – how cool is that? In fact, we entertain millions of people across the globe with the

most amazing and immersive interactive software in the industry. But making games is hard work. That’s

why we employ the most creative, passionate people in the industry.

The Challenge Ahead:

The EA Digital Platform Intelligent Systems Group is responsible for providing unified AI resources across

all franchises within Electronic Arts. Our group develops AI and data driven solutions to game team

problems. From data modeling to agent building, we utilize a modern, cloud-based tech stack with bestin-

class tools to provide solutions and platforms empowering the future state of game development,

marketing, sales, and player experience.

What’s in it for you? Glad you asked!

We love to brag about our great perks like comprehensive health and benefit packages, tuition

reimbursement, and 401k with company match and, of course, free video games. And since we realize it

takes world-class people to make world-class games, we offer competitive compensation packages and a

culture that thrives on creativity and individuality. At EA, we live the “work hard/play hard” credo every

day.

What does a ML Scientist at EA do?

• Analyze and extract key insights from EA’s rich store of player and gameplay data using machine

learning techniques

• Create scalable solutions for problems in the gaming domain

• Design, develop and evaluate highly innovative models for predictive learning applications like

recommendations and targeting

• Work closely with game teams to identify target problems with impact

• Work closely with the core development teams to deploy models seamlessly as part of production

systems

• Establish scalable, efficient, automated processes for large scale data analyses, model

development, model validation and model implementation

• Research and implement novel machine learning algorithms for new business problems.

Our next ML Scientist at EA should have:

• PhD. in Computer Science, or related field, with a focus on machine learning

• Track record of having developed novel machine learning algorithms, SIGKDD/ICML/NIPS

publications a plus

• Hands-on experience in predictive modeling and analysis over large volumes of data

• Strong problem solving ability

• Strong programming skills (object oriented and functional paradigms)

• Experience with large scale distributed programming paradigms – experience with the Hadoop

stack (HDFS/MR/Pig/Hive) a plus

• Experience with analytic tools such as Spark, R, SAS, Matlab or SPSS

• Experience with SQL and MPP databases

• Excellent written and verbal communication and skills

EA is an equal opportunity employer. All employment decisions are made without regard to race, color, national origin, ancestry, sex, gender, gender identity or expression, sexual orientation, age, genetic information, religion, disability, medical condition, pregnancy, marital status, family status or veteran status. We will also consider for employment qualified applicants with criminal records in accordance with applicable law.



            Read moreSee All",https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=353343&s=58&guid=00000163d279fd7d920c9d4362241cf2&src=GD_JOB_VIEW&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_79331075&cb=1528244646061&jobListingId=2788804044
Machine Learning / AI Research Scientist (Grad),Analog Devices,Massachusetts,"Analog Devices (NASDAQ: ADI) designs and manufactures semiconductor products and solutions. We enable our customers to interpret the world around us by intelligently bridging the physical and digital worlds with unmatched technologies that sense, measure and connect.

Analog Devices, Inc. (NASDAQ: ADI) defines innovation and excellence in signal processing. ADI's analog, mixed-signal, and digital signal processing integrated circuits play a fundamental role in converting, conditioning, and processing real-world phenomena such as light, sound, temperature, motion, and pressure into electrical signals to be used in a wide array of electronic equipment.

The Analog Garage Research Lab in Cambridge, MA researches innovative and groundbreaking technologies for Analog Devices. The Algorithmic Systems Group within Analog Garage creates advanced algorithms in the fields of signal processing, machine learning, artificial intelligence and other areas of electrical engineering and computer science, and implements those algorithms in practical and efficient hardware. We are looking for a Research Scientist to work within our group.

Responsibilities:

Create novel algorithms specialized for applications relevant to Analog Devices.
Develop software simulations and analyze performance of algorithms.
Lead or contribute to hardware prototyping efforts and integrated circuit designs.
Work with other researchers and engineers, inside and outside the group, to connect Algorithmic Systems Group work with the goals of business units throughout Analog Devices.
Stay abreast of state-of-the-art algorithms, and research advances beyond the state of the art in areas relevant to Analog Devices.

Qualifications:

Assumes PhD degree or equivalent experience. A research scientist in the Algorithmic Systems Group should have a strong background in two or more of the following areas: signal processing, machine learning, algorithm development, ASIC circuit design, FPGA prototyping, and software development. This search is open to new Ph.D.’s and also more experienced candidates. More senior candidates should have experience in organizing and leading technical projects.

For positions requiring access to technical data, Analog Devices, Inc. may have to obtain export licensing approval from the U.S. Department of Commerce - Bureau of Industry and Security and/or the U.S. Department of State - Directorate of Defense Trade Controls. As such, applicants for this position – except US Citizens, US Permanent Residents, and protected individuals as defined by 8 U.S.C. 1324b(a)(3) – may have to go through an export licensing review process.

Analog Devices, Inc. is an Equal Opportunity Employer Minorities/Females/Vet/Disability

EEO is the Law: Notice of Applicant Rights Under the Law

Education Level: Master's Degree

Travel Required: No




            Read moreSee All",https://www.glassdoor.com/partner/jobListing.htm?pos=109&ao=324697&s=58&guid=00000163d279fd7d920c9d4362241cf2&src=GD_JOB_VIEW&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_72894e8c&cb=1528244648811&jobListingId=2570015091
NYL Post Grad Internship: Data Scientist/Statistician,New York Life Insurance Co,"New York, NY","New York Life Insurance Company (“New York Life” or “the company”) is the largest mutual life insurance company in the United States*. Founded in 1845, New York Life is headquartered in New York City, maintains offices in all fifty states, and owns Seguros Monterrey New York Life in Mexico.

 

New York Life is one of the most financially strong and highly capitalized insurers in the business. The company reported 2016 operating earnings of $1.954 billion. Total assets under management at year end 2016, with affiliates, totaled $538 billion. As of year-end 2016, New York Life’s surplus was $23.336 billion**. New York Life holds the highest possible financial strength ratings currently awarded to any life insurer from all four of the major ratings agencies: A.M. Best, A++; Fitch AAA; Moody’s Aaa; Standard & Poor’s AA+. (Source: Individual Third Party Ratings Report as of 8/17/16).

Financial strength, integrity and humanity—the values upon which New York Life was founded—have guided the company’s decisions and actions for over 170 years.

NYL’s Center for Data Science and Analytics is currently looking to hire two recent graduates / near graduation on a temporary basis with full time hours (40 hours per week). We are seeking candidates that have or are near completion of a Master’s or PhD in Statistics, Bioinformatics, Biostatistics or another field which is highly analytical and quantitative and considered in the realm of Data Science. As a member of our team you will have the opportunity to gain real-life work experience, develop your skills, and begin building a network in a professional environment. You will need great skills in R or SAS. In addition, you must have working knowledge of statistical model building methods.

Qualifications

Recipient or near completion of Master’s or PhD in Statistics, Bioinformatics, Biostatistics, Applied Mathematics or another field which is highly analytical / quantitative in natureExposure and experience with standard statistical techniques: Logistic Regression, Cluster Analysis, Random Forests, Experimental Design, etc.Good feature engineering skillsFluency with one of: R, Python or SASStrong business sense and personableSelf-directed and independent

Compensation is competitive. Relocation / housing support will not be provided.

Our office is located in New York City near Madison Square Park on Madison Ave between 26th and 27th street.

SF:LI-PC2

EOE M/F/D/V

If you have difficulty using or interacting with any portions of this Web site due to incompatibility with an Assistive Technology, if you need the information in an alternative format, or if you have suggestions on how we can make this site more accessible, please contact us at: (212) 576-5811.

*Based on revenue as reported by “Fortune 500, ranked within Industries, Insurance: Life, Health (Mutual),” Fortune Magazine, June 17, 2016. See http://fortune.com/fortune500/ for methodology.

**Total surplus, which includes the Asset Valuation Reserve, is one of the key indicators of the company’s long-term financial strength and stability and is presented on a consolidated basis of the company.

1. Operating earnings is the key measure use by management to track Company’s profitability from ongoing operations and underlying profitability of the business. This indicator is based on generally accepted accounting principles in the US (GAAP), with certain adjustments Company believes to be appropriate as a measurement approach (non GAAP), primarily the removal of gains or losses on investments and related adjustments.

2. Assets under management represent Consolidated Domestic and International insurance Company Statutory assets (cash and invested assets and separate account assets) and third party assets principally managed by New York Life Investment management Holdings LLC, a wholly owned subsidiary of New York Life Insurance Company.



            Read moreSee All",https://www.glassdoor.com/partner/jobListing.htm?pos=110&ao=37049&s=58&guid=00000163d279fd7d920c9d4362241cf2&src=GD_JOB_VIEW&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_91bd814e&cb=1528244652387&jobListingId=2801612627
